service,delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
CV,83.70637893676758,25,720,2024-06-13 17:14:23.668892,Laptop,89.9,82.7886254135436,25,0
CV,83.24193954467773,25,720,2024-06-13 17:14:23.765324,Laptop,84.5,82.76890653472587,24,0
CV,88.61494064331055,25,720,2024-06-13 17:14:23.869141,Laptop,83.7,82.79030858263894,24,0
CV,87.3708724975586,25,720,2024-06-13 17:14:23.972983,Laptop,81.6,82.762898726787,24,0
CV,85.3273868560791,25,720,2024-06-13 17:14:24.074432,Laptop,83.7,82.79442436108376,24,0
CV,84.99026298522949,25,720,2024-06-13 17:14:24.174208,Laptop,86.6,82.75949553087891,24,0
CV,82.52739906311035,25,720,2024-06-13 17:14:24.269541,Laptop,82.4,82.79150031550206,24,0
CV,84.67268943786621,25,720,2024-06-13 17:14:24.367265,Laptop,83.0,82.73427256626034,24,0
CV,80.34515380859375,25,720,2024-06-13 17:14:24.460351,Laptop,82.4,82.7561291926882,24,0
CV,79.70738410949707,25,720,2024-06-13 17:14:24.552005,Laptop,82.3,82.73011993009811,24,0
CV,85.76703071594238,25,720,2024-06-13 17:14:24.649665,Laptop,88.2,82.74512102108655,24,0
CV,87.99052238464355,25,720,2024-06-13 17:14:24.751876,Laptop,82.8,82.71715829947338,24,0
CV,79.01644706726074,25,720,2024-06-13 17:14:24.846559,Laptop,82.2,82.7518168397505,24,0
CV,80.50203323364258,25,720,2024-06-13 17:14:24.938622,Laptop,83.6,82.74100524264173,24,0
CV,87.80622482299805,25,720,2024-06-13 17:14:25.042922,Laptop,89.6,82.7829984686847,25,0
CV,92.19670295715332,25,720,2024-06-13 17:14:25.155315,Laptop,90.6,82.74336413655637,25,0
CV,100.36802291870117,25,720,2024-06-13 17:14:25.291831,Laptop,91.7,82.7628864408812,25,0
CV,89.90883827209473,25,720,2024-06-13 17:14:25.395441,Laptop,83.1,82.73691403600851,24,0
CV,86.181640625,25,720,2024-06-13 17:14:25.494600,Laptop,82.0,82.74730791231991,24,0
CV,88.15407752990723,25,720,2024-06-13 17:14:25.595100,Laptop,83.7,82.72438241208697,24,0
CV,90.53564071655273,25,720,2024-06-13 17:14:25.708701,Laptop,87.1,82.67603737274258,24,0
CV,88.05513381958008,25,720,2024-06-13 17:14:25.810520,Laptop,81.7,82.64196855594412,24,0
CV,81.7711353302002,25,720,2024-06-13 17:14:25.905433,Laptop,81.8,82.65254672084261,24,0
CV,83.72759819030762,25,720,2024-06-13 17:14:26.005601,Laptop,81.3,82.62803633876075,24,0
CV,84.69462394714355,25,720,2024-06-13 17:14:26.103268,Laptop,81.8,82.65817366570148,24,0
CV,79.99205589294434,25,720,2024-06-13 17:14:26.197444,Laptop,86.2,82.63856536003601,24,0
CV,88.35625648498535,25,720,2024-06-13 17:14:26.300189,Laptop,86.9,82.6959528260532,24,0
CV,85.48855781555176,25,720,2024-06-13 17:14:26.398209,Laptop,83.6,82.66919412320895,24,0
CV,81.75921440124512,25,720,2024-06-13 17:14:26.492732,Laptop,82.1,82.69580539518353,24,0
CV,83.5263729095459,25,720,2024-06-13 17:14:26.588791,Laptop,83.6,82.67342047480602,24,0
CV,87.81814575195312,25,720,2024-06-13 17:14:26.689581,Laptop,85.7,82.70424581247187,24,0
CV,79.24747467041016,25,720,2024-06-13 17:14:26.780218,Laptop,81.9,82.67769597002632,24,0
CV,83.11748504638672,25,720,2024-06-13 17:14:26.876247,Laptop,83.6,82.70353322993516,24,0
CV,85.7400894165039,25,720,2024-06-13 17:14:26.973272,Laptop,83.0,82.67666395393867,24,0
CV,77.78692245483398,25,720,2024-06-13 17:14:27.063030,Laptop,81.9,82.7138165330943,24,0
CV,77.06141471862793,25,720,2024-06-13 17:14:27.162319,Laptop,84.0,82.68609952959723,24,0
CV,78.43828201293945,25,720,2024-06-13 17:14:27.257934,Laptop,82.1,82.72067206853373,24,0
CV,74.50628280639648,25,720,2024-06-13 17:14:27.347295,Laptop,81.2,82.6932253549644,24,0
CV,76.60651206970215,25,720,2024-06-13 17:14:27.436300,Laptop,82.7,82.71432025523232,24,0
CV,81.88939094543457,25,720,2024-06-13 17:14:27.529756,Laptop,83.2,82.67980914582486,24,0
CV,92.01407432556152,25,720,2024-06-13 17:14:27.635554,Laptop,86.7,82.70857045131538,24,0
CV,79.44989204406738,25,720,2024-06-13 17:14:27.732141,Laptop,83.7,82.68585381148112,24,0
CV,83.89639854431152,25,720,2024-06-13 17:14:27.829875,Laptop,84.3,82.71090477341842,24,0
CV,101.3481616973877,25,720,2024-06-13 17:14:27.945713,Laptop,87.0,82.68784412822161,24,0
CV,111.04106903076172,25,720,2024-06-13 17:14:28.103685,Laptop,92.0,82.71655629008892,25,0
CV,84.26165580749512,25,720,2024-06-13 17:14:28.201970,Laptop,85.9,82.68999416173756,24,0
CV,83.88829231262207,25,720,2024-06-13 17:14:28.395587,Laptop,79.5,82.64323400424207,24,0
CV,81.03799819946289,25,720,2024-06-13 17:14:28.489511,Laptop,84.8,82.6584439556292,24,0
CV,77.2237777709961,25,720,2024-06-13 17:14:28.582179,Laptop,82.1,82.64204227137894,24,0
CV,91.93587303161621,25,720,2024-06-13 17:14:28.701902,Laptop,85.3,82.62147566506066,24,0
CV,82.45539665222168,25,720,2024-06-13 17:14:28.796701,Laptop,84.4,82.62646374281766,24,0
CV,79.56624031066895,25,720,2024-06-13 17:14:28.887321,Laptop,82.3,82.62646374281766,24,0
CV,84.2275619506836,25,720,2024-06-13 17:14:28.982802,Laptop,82.2,82.65699421874416,24,0
CV,85.92820167541504,25,720,2024-06-13 17:14:29.084580,Laptop,81.5,82.63720162449161,24,0
CV,83.85539054870605,25,720,2024-06-13 17:14:29.182335,Laptop,83.3,82.6627440226611,24,0
